,address,latitude,longitude
0,"Бийский район, с. Сростки, ул. Чуйская, д.1а",52.419948,85.719643
1,"с. Баюновские Ключи, Первомайский район, примерно в 125 м. ориентира жилая застройка северной части с. Баюновские Ключи",53.328601,84.182913
2,"г. Новоалтайск, ул. Дорожная, д. 62",53.390321,83.987655
3,"город Белокуриха, Бийская улица, д. 40/2",52.001456,84.993238
4,"г. Бийск, пер. Липового, д. 4/1",52.500588,85.157127
5,"Россия, Первомайский район, (примерно в 200 м от примыкающей подъездной автодороги) к с. Санниково с правой стороны автодороги Барнаул-Бийск-Госграница )",53.343635,83.97118
6,"г. Барнаул, ул. Попова, д. 166а",53.346516,83.670738
7,"г. Барнаул, пр-кт Космонавтов, д. 14К",53.38777,83.68848
8,"г. Бийск, ул. Советская, д. 219/9",52.512182,85.172165
9,"Шипуновский район, с. Шипуново, (по трассе Шипуново - Первомайское)",52.220108,82.258443
10,"город Барнаул, Гоголя улица, д. 104",53.328714,83.777863
11,"г. Барнаул, ул. Юрина, д. 311 / ул. Солнечная Поляна, д. 20",53.374938,83.662366
12,"Россия, г. Барнаул, тракт Павловский, д. 319",53.348887,83.619795
13,"Тальменский район, примерно в 3.5 км на юго-восток от ст.Озерки",53.668819,83.698901
14,"Калманский район, 55 км автодороги Барнаул-Рубцовск",52.915177,83.514171
15,"Алтайский район, Село Алтайское, М.Горького улица, д. 2б",51.942545,85.345486
16,"Топчихинский район, с. Чистюнька (48 км. автомобильной дороги «Парфеново-Топчиха-Чистюнька»)",52.679095,83.211062
17,"г. Барнаул, ул. Попова, д. 175а",53.323621,83.645136
18,"Павловский район, с. Павловск, ул. Магистральная, участок 1а",53.337274,82.92935
19,"г. Барнаул, тракт Змеиногорский, д. 134а",53.218497,83.681294
20,"г. Рубцовск, ул. Комсомольская, д. 160",51.52244,81.210136
21,"Бийский район, 4 км. автодороги Бийск-Турочак-Артыбаш",52.57291,85.219317
22,"г.Бийск, ул.Вячеслава Шишкова, д.41а",52.525563,85.243787
23,"г.Барнаул, ул.Власихинская, д.61а",53.326745,83.694589
24,"Троицкий р-н, в 20м по направлению на Восток от ориентира Алтайский край (в придорожной полосе ФД М-52 ""Чуйский тракт"" 292км)",52.90576,84.592221
25,"Майминский район, 431+850 км Чуйского тракта",51.812258,85.989048
26,"г.Горно-Алтайск, ул. Барнаульская, д. 209",51.913832,85.99132
27,"Чемальский район, в северо-восточной части села Чемал, на 33,825 км автодороги Усть-Сема-Чемал-Куюс с правой стороны",51.913832,85.99132
28,"Майминский район, с. Майма, ул. Подгорная, д.2 Г",52.009505,85.911811
29,"Майминский район, район Айского моста, 455 км. Чуйского тракта",51.902353,85.868197
